volcanoName,eruptionCertainty,startDate,maxVEI,evidenceMethod,latitude,longitude,volcanoHeight,country,primaryVolcanoType,population5km,population10km,population30km,population100km
Taupo,1,2500 BCE,3,Radiocarbon (corrected),-38.82,176.0,760,New Zealand,Caldera,21456,21456,26674,161966
Campi Flegrei,1,2500 BCE,4,Tephrochronology,40.827,14.139,458,Italy,Caldera,2234109,2234109,3006865,6019697
Terceira,1,2530 BCE,1,Radiocarbon (uncorrected),38.73,-27.32,1023,Portugal,Stratovolcano,2928,12299,55425,81512
Avachinsky,1,2530 BCE,4,Radiocarbon (corrected),53.256,158.836,2717,Russia,Stratovolcano,0,0,180016,270205
Sheveluch,1,2530 BCE,3,Tephrochronology,56.653,161.36,3283,Russia,Stratovolcano,0,0,1718,11613
Katla,1,2540 BCE,3,Tephrochronology,63.633,-19.083,1490,Iceland,Subglacial,0,0,473,11326
Oddnyjarhnjukur-Langjokull,1,2550 BCE,0,Tephrochronology,64.85,-19.7,1100,Iceland,Subglacial,0,0,5,11973
Dona Juana,1,2550 BCE,4,Radiocarbon (uncorrected),1.5,-76.936,4137,Colombia,Stratovolcano,1524,5372,160615,1626081
Cuicocha,1,2550 BCE,5,Radiocarbon (uncorrected),0.308,-78.364,3246,Ecuador,Caldera,178815,178815,364146,3193683
Apoyeque,1,2550 BCE,5,Tephrochronology,12.242,-86.342,518,Nicaragua,Pyroclastic shield,2369,116718,1342581,3445854
Momotombo,1,2550 BCE,2,Radiocarbon (uncorrected),12.423,-86.539,1270,Nicaragua,Stratovolcano,100,1851,98583,3569021
Shasta,1,2550 BCE,1,Radiocarbon (uncorrected),41.409,-122.193,4317,United States,Stratovolcano,0,35,19785,265016
Rainier,1,2550 BCE,3,Radiocarbon (uncorrected),46.853,-121.76,4392,United States,Stratovolcano,0,128,3187,2667609
Aniakchak,1,2550 BCE,4,Tephrochronology,56.88,-158.17,1341,United States,Caldera,0,0,36,479
Hachijojima,1,2550 BCE,3,Tephrochronology,33.137,139.766,854,Japan,Stratovolcano,11275,13560,13564,14082
Izu-Oshima,1,2550 BCE,1,Tephrochronology,34.724,139.394,746,Japan,Stratovolcano,2381,8037,8375,11837468
Fujisan,1,2550 BCE,2,Tephrochronology,35.361,138.728,3776,Japan,Stratovolcano,570,1759,906969,25022187
Yakedake,1,2550 BCE,0,Tephrochronology,36.227,137.587,2455,Japan,Stratovolcano,995,2995,156542,4595286
Hakusan,1,2550 BCE,2,Radiocarbon (corrected),36.155,136.771,2702,Japan,Stratovolcano,474,807,63965,5959200
Asamayama,1,2550 BCE,4,Anthropology,36.406,138.523,2568,Japan,Complex,583,22371,457576,7629353
Asosan,1,2550 BCE,1,Tephrochronology,32.884,131.104,1592,Japan,Caldera,75559,75559,234591,6507519
Craters of the Moon,1,2560 BCE,0,Radiocarbon (uncorrected),43.42,-113.5,2005,United States,Pyroclastic cone,15,15,1459,93300
Campi Flegrei,1,2580 BCE,3,Radiocarbon (uncorrected),40.827,14.139,458,Italy,Caldera,2234109,2234109,3006865,6019697
Galeras,1,2580 BCE,2,Radiocarbon (corrected),1.22,-77.37,4276,Colombia,Complex,705,120817,630777,1700248
Taupo,1,2600 BCE,4,Radiocarbon (corrected),-38.82,176.0,760,New Zealand,Caldera,21456,21456,26674,161966
Zaozan [Zaosan],1,2600 BCE,1,Radiocarbon (corrected),38.144,140.44,1841,Japan,Complex,632,4681,550409,4956958
Adatarayama,1,2600 BCE,3,Radiocarbon (corrected),37.647,140.281,1728,Japan,Stratovolcano,428,3936,717078,5024654
Aguilera,1,2610 BCE,5,Radiocarbon (uncorrected),-50.33,-73.75,2546,Chile,Stratovolcano,0,0,103,5698
Sheveluch,1,2620 BCE,5,Radiocarbon (corrected),56.653,161.36,3283,Russia,Stratovolcano,0,0,1718,11613
Unzendake,1,2640 BCE,1,Radiocarbon (corrected),32.761,130.299,1483,Japan,Complex,6979,76424,444737,7313362
Cotopaxi,1,2640 BCE,5,Radiocarbon (uncorrected),-0.677,-78.436,5911,Ecuador,Stratovolcano,251,7299,152139,3631492
Tenerife,1,2650 BCE,2,Tephrochronology,28.271,-16.641,3715,Spain,Stratovolcano,0,156,337660,766276
Kirishimayama,1,2650 BCE,4,Radiocarbon (uncorrected),31.934,130.862,1700,Japan,Shield,647,8415,407050,3972044
Vulcano,1,2650 BCE,3,Potassium-Argon,38.404,14.962,500,Italy,Stratovolcano,2259,23059,86766,2093800
Adams,1,2650 BCE,2,Tephrochronology,46.206,-121.49,3742,United States,Stratovolcano,0,70,4019,393303
Avachinsky,1,2650 BCE,3,Tephrochronology,53.256,158.836,2717,Russia,Stratovolcano,0,0,180016,270205
Tolmachev Dol,1,2650 BCE,4,Radiocarbon (uncorrected),52.63,157.58,1021,Russia,Pyroclastic cone,2,2,14,247676
Tokachidake,1,2650 BCE,1,Radiocarbon (corrected),43.418,142.686,2077,Japan,Stratovolcano,12,227,60382,1373264
Pelee,1,2660 BCE,4,Radiocarbon (corrected),14.809,-61.165,1394,France,Stratovolcano,251,5025,382633,609576
Brennisteinsfjoll,1,2660 BCE,0,Radiocarbon (uncorrected),63.933,-21.783,610,Iceland,Crater rows,33526,33526,163469,203012
Harrat Ash Shaam,1,2670 BCE,0,Radiocarbon (corrected),32.333,37.583,1100,Syria-Jordan-Saudi Arabia,Volcanic field,276996,276996,276996,276996
Katla,1,2680 BCE,3,Tephrochronology,63.633,-19.083,1490,Iceland,Subglacial,0,0,473,11326
Ata,1,2690 BCE,5,Radiocarbon (uncorrected),31.22,130.57,924,Japan,Caldera,93134,93134,171590,1891380
"Fournaise, Piton de la",1,2700 BCE,5,Radiocarbon (corrected),-21.244,55.708,2632,France,Shield,55859,55859,246792,717820
