volcanoName,startDate,endDate,SO2_Mass_kt,SO2_Altitude
Tengger Caldera,2004 Jun 09,2004 Jun 09,31.000,12.3
Bezymianny,2004 Jan 14,2004 Jan 14,1.000,6.0
Manam,2004 Dec 20,2004 Dec 20,38.000,17.0
Soputan,2004 Dec 13,2004 Dec 13,15.000,11.0
Galeras,2004 Aug 12,2004 Aug 12,3.000,11.0
Soputan,2003 Sep 01,2003 Sep 01,16.000,11.8
Anatahan,2003 May 11,2003 Jun 13,494.000,5.0
Tungurahua,2003 Mar 08,2003 Mar 08,12.000,15.0
Lopevi,2003 Jun 09,2003 Jun 09,50.000,12.0
Gamalama,2003 Jul 31,2003 Jul 31,5.000,11.7
Bezymianny,2003 Jul 26,2003 Jul 26,2.000,11.0
Soufriere Hills,2003 Jul 13,2003 Jul 13,100.000,16.0
Ruang,2002 Sep 26,2002 Sep 26,80.000,22.0
Etna,2002 Oct 27,2002 Oct 27,80.000,13.4
"Fournaise, Piton de la",2002 Nov 17,2002 Nov 17,4.000,7.6
Papandayan,2002 Nov 13,2002 Nov 13,7.000,12.7
Reventador,2002 Nov 03,2002 Nov 03,84.000,17.0
Manam,2002 May 19,2002 May 19,10.000,9.0
Nyamulagira,2002 Jul 25,2002 Jul 25,2321.000,5.0
Nyiragongo,2002 Jan 17,2002 Jan 17,30.000,8.5
Ulawun,2002 Aug 27,2002 Aug 27,10.000,12.3
Soufriere Hills,2001 Jul 30,2001 Jul 30,33.000,10.9
Etna,2001 Jul 25,2001 Jul 25,10.000,8.4
Popocatepetl,2001 Jan 23,2001 Jan 23,17.000,12.0
Cleveland,2001 Feb 19,2001 Feb 19,6.000,10.0
Nyamulagira,2001 Feb 06,2001 Feb 06,1651.000,10.0
Tungurahua,2001 Aug 06,2001 Aug 06,32.000,13.0
Ulawun,2001 Apr 30,2001 Apr 30,30.000,14.0
Popocatepetl,2001 Apr 29,2001 Apr 29,4.000,9.0
Ulawun,2000 Sep 28,2000 Sep 28,37.000,16.0
Soufriere Hills,2000 Mar 20,2000 Mar 20,3.400,9.0
Nyamulagira,2000 Jan 28,2000 Jan 28,317.000,6.0
Hekla,2000 Feb 26,2000 Feb 26,183.000,11.0
Popocatepetl,2000 Dec 15,2000 Dec 19,49.000,15.5
Miyakejima,2000 Aug 18,2000 Aug 28,64.000,5.0
Tungurahua,1999 Nov 16,1999 Nov 16,6.000,15.0
Cameroon,1999 Mar 30,1999 Mar 30,45.000,9.1
Soufriere Hills,1999 Jul 20,1999 Jul 20,16.000,11.1
Shishaldin,1999 Apr 19,1999 Apr 19,63.000,13.7
"Azul, Cerro",1998 Sep 15,1998 Sep 15,714.000,15.0
Nyamulagira,1998 Oct 17,1998 Oct 17,2513.000,8.0
Manam,1998 Oct 05,1998 Oct 05,17.000,16.0
Popocatepetl,1998 Nov 25,1998 Nov 25,10.000,15.5
Soufriere Hills,1998 Nov 12,1998 Nov 12,9.000,8.0
Soufriere Hills,1998 Jul 03,1998 Jul 03,2.000,12.0
Popocatepetl,1997 Jul 03,1997 Jul 03,7.000,13.0
Manam,1997 Feb 08,1997 Feb 08,3.000,16.0
Soufriere Hills,1997 Dec 26,1997 Dec 26,31.000,11.0
Grimsvotn,1996 Oct 02,1996 Oct 02,10.000,10.0
Ruapehu,1996 Jun 17,1996 Jun 17,80.000,10.0
Ruapehu,1996 Jul 20,1996 Jul 20,10.000,11.0
Nyamulagira,1996 Dec 01,1996 Dec 01,887.000,6.0
Rabaul,1994 Sep 19,1994 Sep 19,200.000,20.0
Klyuchevskoy,1994 Oct 01,1994 Oct 01,150.000,15.0
Rinjani,1994 Jun 03,1994 Jun 03,10.000,10.0
Nyamulagira,1994 Jul 05,1994 Jul 05,1514.000,4.0
Lascar,1993 Apr 19,1993 Apr 19,450.000,16.0
Spurr,1992 Sep 17,1992 Sep 17,250.000,15.0
Spurr,1992 Jun 27,1992 Jun 27,250.000,18.0
Spurr,1992 Aug 18,1992 Aug 18,300.000,13.5
"Negro, Cerro",1992 Apr 09,1992 Apr 09,10.000,8.0
Marchena,1991 Sep 26,1991 Sep 26,200.000,2.0
Nyamulagira,1991 Sep 22,1991 Sep 22,858.000,4.0
Lokon-Empung,1991 Oct 25,1991 Oct 25,20.000,11.6
Pinatubo,1991 Jun 13,1991 Jun 15,18194.000,19.0
Hekla,1991 Jan 20,1991 Jan 20,230.000,6.5
"Hudson, Cerro",1991 Aug 09,1991 Aug 15,4000.000,12.0
Fernandina,1991 Apr 20,1991 Apr 20,580.000,8.0
Redoubt,1990 Mar 09,1990 Mar 09,16.000,13.1
Klyuchevskoy,1990 Jan 30,1990 Jan 30,10.000,10.0
Etna,1990 Jan 15,1990 Jan 15,10.000,8.4
Kelud,1990 Feb 11,1990 Feb 11,150.000,12.0
Etna,1989 Sep 19,1989 Sep 19,37.000,8.4
"Ruiz, Nevado del",1989 Sep 01,1989 Sep 01,12.000,15.3
Pacaya,1989 Mar 09,1989 Mar 09,1.000,3.0
Lonquimay,1989 Jan 12,1989 Jan 12,10.000,6.0
Redoubt,1989 Dec 15,1989 Dec 15,140.000,12.0
Nyamulagira,1989 Apr 24,1989 Apr 24,2105.000,6.0
Ambrym,1989 Apr 24,1989 Apr 24,25.000,11.3
Fernandina,1988 Sep 14,1988 Sep 14,280.000,9.0
Banda Api,1988 May 09,1988 May 09,250.000,16.0
Makian,1988 Jul 29,1988 Jul 29,50.000,16.0
Klyuchevskoy,1987 Feb 19,1987 Feb 19,10.000,9.0
Nyamulagira,1987 Dec 31,1987 Dec 31,28.000,4.0
Etna,1986 Nov 30,1986 Nov 30,10.000,8.4
Chikurachki,1986 Nov 20,1986 Dec 02,750.000,11.0
Izu-Oshima,1986 Nov 19,1986 Nov 19,22.000,10.8
Ambrym,1986 Nov 15,1986 Nov 15,10.000,11.3
Kilauea,1986 May 07,1986 May 07,36.200,5.2
Augustine,1986 Mar 27,1986 Mar 27,20.000,15.0
Kilauea,1986 Mar 22,1986 Mar 22,5.400,5.2
